epoch,accuracy,loss,val_accuracy,val_loss
0,0.052356019616127014,3.2385387420654297,0.17894737422466278,3.1603825092315674
1,0.0445026196539402,3.1764698028564453,0.10526315867900848,3.1678640842437744
2,0.04188481718301773,3.1749560832977295,0.0,3.175889730453491
3,0.04188481718301773,3.1713218688964844,0.0,3.148932933807373
4,0.0628272220492363,3.1501502990722656,0.010526316240429878,3.124758005142212
5,0.08115183562040329,3.127235174179077,0.05263157933950424,3.0885703563690186
6,0.0890052393078804,3.121838331222534,0.1894736886024475,3.005610704421997
7,0.09947644174098969,3.0903263092041016,0.23157894611358643,2.899923801422119
8,0.12827225029468536,3.057102680206299,0.2210526317358017,2.94869065284729
9,0.13089005649089813,3.0459344387054443,0.28421053290367126,2.8567893505096436
10,0.12827225029468536,2.980046272277832,0.2526315748691559,2.8282060623168945
11,0.1439790576696396,2.933431386947632,0.31578946113586426,2.695919990539551
12,0.1884816735982895,2.9093995094299316,0.31578946113586426,2.6453311443328857
13,0.1596858650445938,2.887556552886963,0.31578946113586426,2.657428026199341
14,0.17539267241954803,2.8338773250579834,0.28421053290367126,2.6839611530303955
